"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 19 14:15:25 GMT 2023","Fri May 19 14:15:25 GMT 2023","1","","chrome.MobileChromeTest","","chrome.MobileChromeTest","","MobileChromeTest",""
"broken","Fri May 19 14:15:35 GMT 2023","Fri May 19 14:15:36 GMT 2023","1112","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [6] Бизнес",""
"failed","Fri May 19 14:15:29 GMT 2023","Fri May 19 14:15:29 GMT 2023","61","","api.MTSCreditTest","","api.MTSCreditTest","errorOrderCheck","'POST' Негативная проверка метода подачи заявки на кредит выбрав несуществующий тариф [2] 4","Проверяем, что при методе подачи заявки на кредит в теле запроса нельзя указать несуществующий номер тарифа"
"failed","Fri May 19 14:15:29 GMT 2023","Fri May 19 14:15:29 GMT 2023","22","","api.MTSCreditTest","","api.MTSCreditTest","errorDeleteOrder","'DELETE' Негативное удаление несуществующей заявки","Проверяем, что при удалении несуществующей заявки выдаст ошибку ORDER_NOT_FOUND"
"failed","Fri May 19 14:15:29 GMT 2023","Fri May 19 14:15:29 GMT 2023","112","","api.MTSCreditTest","","api.MTSCreditTest","errorOrderCheck","'POST' Негативная проверка метода подачи заявки на кредит выбрав несуществующий тариф [1] 0","Проверяем, что при методе подачи заявки на кредит в теле запроса нельзя указать несуществующий номер тарифа"
"broken","Fri May 19 14:15:33 GMT 2023","Fri May 19 14:15:35 GMT 2023","1109","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [5] Ипотека",""
"broken","Fri May 19 14:15:36 GMT 2023","Fri May 19 14:15:37 GMT 2023","1111","","chrome.ChromeTest","","chrome.ChromeTest","smallBusinessTest","Проверка кнопки 'Отправить заявку' в блоках ссылка которых содержит /malomu-biznesu/",""
"broken","Fri May 19 14:15:28 GMT 2023","Fri May 19 14:15:29 GMT 2023","1164","","chrome.ChromeTest","","chrome.ChromeTest","groupsOfCompaniesTest","Проверка выпадающих элементов в Группах компаний",""
"broken","Fri May 19 14:15:37 GMT 2023","Fri May 19 14:15:38 GMT 2023","1109","","chrome.ChromeTest","","chrome.ChromeTest","depozitTest","Проверка появления ошибки не проставления чекбокса соглашения на обработку",""
"failed","Fri May 19 14:15:21 GMT 2023","Fri May 19 14:15:28 GMT 2023","7100","","api.MTSCreditTest","","api.MTSCreditTest","successOrderCheck","'POST' Успешная проверка метода подачи заявки на кредит","Проверяем, что при методе подачи заявки на кредит в теле ответа есть orderId"
"broken","Fri May 19 14:15:32 GMT 2023","Fri May 19 14:15:33 GMT 2023","1109","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [4] Вклады и счета",""
"broken","Fri May 19 14:15:31 GMT 2023","Fri May 19 14:15:32 GMT 2023","1113","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [3] Дебетовые карты",""
"broken","Fri May 19 14:15:30 GMT 2023","Fri May 19 14:15:31 GMT 2023","1110","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [2] Кредитные карты",""
"failed","Fri May 19 14:15:29 GMT 2023","Fri May 19 14:15:29 GMT 2023","38","","api.MTSCreditTest","","api.MTSCreditTest","errorOrderCheck","'POST' Негативная проверка метода подачи заявки на кредит выбрав несуществующий тариф [3] 1000","Проверяем, что при методе подачи заявки на кредит в теле запроса нельзя указать несуществующий номер тарифа"
"failed","Fri May 19 14:15:29 GMT 2023","Fri May 19 14:15:29 GMT 2023","39","","api.MTSCreditTest","","api.MTSCreditTest","errorStatusOrderCheck","'GET' Негативная проверка получения статуса несуществующей заявки","Проверяем, что выдаст ошибку при попытке запроса статуса несуществующей заявки"
"failed","Fri May 19 14:15:29 GMT 2023","Fri May 19 14:15:29 GMT 2023","66","","api.MTSCreditTest","","api.MTSCreditTest","successGetTariffs","'GET' Успешная проверка списка тарифов","Проверяем, что в полученном списке тарифов есть тарифы из ТЗ"
"failed","Fri May 19 14:15:29 GMT 2023","Fri May 19 14:15:29 GMT 2023","36","","api.MTSCreditTest","","api.MTSCreditTest","successStatusOrderCheck","'GET' Успешная проверка соответствия статуса ордера в методе получения статуса заявки","Проверяем, что значение статуса ордера соответствует статусу этого ордера из ответа в методе получения статуса заявки"
"broken","Fri May 19 14:15:29 GMT 2023","Fri May 19 14:15:30 GMT 2023","1163","","chrome.ChromeTest","","chrome.ChromeTest","blogTest","Проверка соответствия подписи в блоках продукта в разделе 'Блог' [1] Кредитование",""
"failed","Fri May 19 14:15:28 GMT 2023","Fri May 19 14:15:29 GMT 2023","134","","api.MTSCreditTest","","api.MTSCreditTest","successAuthenticationUser","'POST' Успешная аутентификация и получение токена","Проверяем, что аутентификация пройдет успешно с данными выданными с документацией проекта. Получение токена"
"broken","Fri May 19 14:15:26 GMT 2023","Fri May 19 14:15:28 GMT 2023","1268","","chrome.ChromeTest","","chrome.ChromeTest","addressTest","Проверка ссылки кнопки адрес",""
"failed","Fri May 19 14:15:29 GMT 2023","Fri May 19 14:15:29 GMT 2023","24","","api.MTSCreditTest","","api.MTSCreditTest","successDeleteOrder","'DELETE' Успешное удаление существующей заявки","Проверяем, что заявка успешно удалится"
